site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,639264.9046,2760265
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,458156.4388,2719902
Alsum18-2019,Alsum18-2023,8,7,6,464211.1515,2592804
Alsum59-2019,Alsum59-2023,8,6,7,480993.6786,2643662
Arlington-2019,Arlington-2023,8,7,7,456559.2362,2705313
XMASBig-2019,XMASBig-2023,8,5,5,769714.3656,3523352
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,465061.8942,2726370
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,477563.1167,2751713
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,482844.1654,2812177
Wysocki1129-2019,Wysocki1129-2023,8,7,7,468959.0711,2762813
Arlington-2015,Arlington-2023,16,4,7,655464.692,2783341
C5-2015,C5-2023,16,7,7,456913.575,2748030
C44-L15-2015,C44-L15-2023,16,7,7,458111.8796,2737556
GarrisonNE-2015,GarrisonNE-2023,16,7,7,453933.1807,2684302
H10-2015,H10-2023,16,7,7,454776.536,2703322
H15-2015,H15-2023,16,8,6,458007.6596,2686729
H41-2015,H41-2023,16,7,4,630020.8446,2735884
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,780771.1367,3545934
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,443705.5371,2752158
