site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,619944.1513,2536704
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,461452.8775,2518184
Alsum18-2019,Alsum18-2023,8,7,6,467781.547,2377952
Alsum59-2019,Alsum59-2023,8,6,7,462160.9606,2440474
Arlington-2019,Arlington-2023,8,7,7,426493.9838,2461886
XMASBig-2019,XMASBig-2023,8,5,5,719855.6386,3206065
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,445766.2871,2519612
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,457323.2962,2534511
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,439445.245,2588005
Wysocki1129-2019,Wysocki1129-2023,8,7,7,437943.0977,2534777
Arlington-2015,Arlington-2023,16,4,7,614193.9071,2534751
C5-2015,C5-2023,16,7,7,447599.2626,2509172
C44-L15-2015,C44-L15-2023,16,7,7,429570.7701,2510752
GarrisonNE-2015,GarrisonNE-2023,16,7,7,426614.9452,2474955
H10-2015,H10-2023,16,7,7,439434.0902,2458973
H15-2015,H15-2023,16,8,6,452152.6593,2451604
H41-2015,H41-2023,16,7,4,595790.3424,2517518
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,737318.6541,3268746
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,451320.2336,2552118
