site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,593897.0404,2568363
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,440800.2595,2532316
Alsum18-2019,Alsum18-2023,8,7,6,458254.7832,2376786
Alsum59-2019,Alsum59-2023,8,6,7,456817.6894,2453905
Arlington-2019,Arlington-2023,8,7,7,417576.1715,2478851
XMASBig-2019,XMASBig-2023,8,5,5,736266.7534,3277141
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,421829.5742,2528433
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,433122.2124,2531394
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,434116.6716,2594335
Wysocki1129-2019,Wysocki1129-2023,8,7,7,413364.4887,2563771
Arlington-2015,Arlington-2023,16,4,7,599480.265,2587465
C5-2015,C5-2023,16,7,7,434652.5831,2533071
C44-L15-2015,C44-L15-2023,16,7,7,430933.5394,2506391
GarrisonNE-2015,GarrisonNE-2023,16,7,7,420487.1971,2503889
H10-2015,H10-2023,16,7,7,416891.3718,2474857
H15-2015,H15-2023,16,8,6,435338.1237,2466028
H41-2015,H41-2023,16,7,4,595303.0017,2492119
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,761942.1606,3303342
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,428062.1211,2563364
