site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,520208.5605,2242067
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,372371.0326,2213052
Alsum18-2019,Alsum18-2023,8,7,6,396138.4641,2120732
Alsum59-2019,Alsum59-2023,8,6,7,394465.4285,2151123
Arlington-2019,Arlington-2023,8,7,7,379561.6155,2214575
XMASBig-2019,XMASBig-2023,8,5,5,643057.4859,2811975
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,371038.4918,2225362
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,422916.6977,2224504
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,390438.7662,2252646
Wysocki1129-2019,Wysocki1129-2023,8,7,7,370693.6672,2258611
Arlington-2015,Arlington-2023,16,4,7,525953.4651,2269615
C5-2015,C5-2023,16,7,7,377367.6342,2241994
C44-L15-2015,C44-L15-2023,16,7,7,376125.5453,2218724
GarrisonNE-2015,GarrisonNE-2023,16,7,7,369192.5216,2196888
H10-2015,H10-2023,16,7,7,361045.6912,2181192
H15-2015,H15-2023,16,8,6,386402.4106,2202953
H41-2015,H41-2023,16,7,4,509410.6925,2208992
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,647185.2186,2903884
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,382760.4449,2249357
