site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,355157.3727,1158635
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,183376.6249,1134793
Alsum18-2019,Alsum18-2023,8,7,6,219243.9222,1063590
Alsum59-2019,Alsum59-2023,8,6,7,292125.9278,1125814
Arlington-2019,Arlington-2023,8,7,7,179595.6667,1128695
XMASBig-2019,XMASBig-2023,8,5,5,310652.814,1425788
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,187795.2043,1125399
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,201731.6171,1155952
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,198219.9376,1175819
Wysocki1129-2019,Wysocki1129-2023,8,7,7,195921.6057,1164187
Arlington-2015,Arlington-2023,16,4,7,327680.3435,1134466
C5-2015,C5-2023,16,7,7,178916.4909,1145843
C44-L15-2015,C44-L15-2023,16,7,7,182421.6651,1121620
GarrisonNE-2015,GarrisonNE-2023,16,7,7,174914.0769,1107735
H10-2015,H10-2023,16,7,7,161275.4187,1097556
H15-2015,H15-2023,16,8,6,329445.0794,1127949
H41-2015,H41-2023,16,7,4,273696.3656,1133284
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,325051.8509,1451701
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,192001.5358,1145484
