site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,376930.4383,1635507
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,275975.7936,1642432
Alsum18-2019,Alsum18-2023,8,7,7,275319.5347,1612718
Alsum59-2019,Alsum59-2023,8,7,7,280209.9564,1628313
Arlington-2019,Arlington-2023,8,7,7,269479.666,1608188
XMASBig-2019,XMASBig-2023,8,5,5,470457.503,2096890
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,273185.6554,1635714
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,283437.8853,1648793
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,278387.5646,1659244
Wysocki1129-2019,Wysocki1129-2023,8,7,7,262822.2187,1651619
Arlington-2015,Arlington-2023,16,4,7,365972.9512,1634133
C5-2015,C5-2023,16,7,7,262594.1077,1632307
C44-L15-2015,C44-L15-2023,16,7,7,262410.9553,1640335
GarrisonNE-2015,GarrisonNE-2023,16,7,7,268134.5821,1615539
H10-2015,H10-2023,16,7,7,267858.2042,1606334
H15-2015,H15-2023,16,8,7,261588.2622,1620730
H41-2015,H41-2023,16,7,7,327677.0255,1449955
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,456752.5912,2116726
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,269293.8254,1657933
