site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,502274.3409,2171381
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,356613.0881,2141618
Alsum18-2019,Alsum18-2023,8,7,7,384647.8043,2118762
Alsum59-2019,Alsum59-2023,8,7,7,395041.4945,2144750
Arlington-2019,Arlington-2023,8,7,7,355242.3082,2093094
XMASBig-2019,XMASBig-2023,8,5,5,568147.4073,2700468
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,347592.1949,2129213
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,384834.2045,2167487
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,346011.8174,2174330
Wysocki1129-2019,Wysocki1129-2023,8,7,7,355071.2866,2140018
Arlington-2015,Arlington-2023,16,4,7,468712.1945,2151532
C5-2015,C5-2023,16,7,7,342309.922,2144914
C44-L15-2015,C44-L15-2023,16,7,7,345206.9401,2060342
GarrisonNE-2015,GarrisonNE-2023,16,7,7,349633.2764,2103104
H10-2015,H10-2023,16,7,7,353021.5726,2094845
H15-2015,H15-2023,16,8,7,325501.8383,2139853
H41-2015,H41-2023,16,7,7,448294.4708,1943341
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,546432.9585,2719850
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,361258.2339,2151108
