site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,676977.2446,2886028
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,478842.6342,2867048
Alsum18-2019,Alsum18-2023,8,7,7,506840.8323,2856056
Alsum59-2019,Alsum59-2023,8,7,7,502038.1814,2875302
Arlington-2019,Arlington-2023,8,7,7,452136.8134,2810565
XMASBig-2019,XMASBig-2023,8,5,5,813889.8647,3630735
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,486271.849,2887983
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,531015.5944,2866572
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,476480.8054,2930112
Wysocki1129-2019,Wysocki1129-2023,8,7,7,481630.0977,2894667
Arlington-2015,Arlington-2023,16,4,7,657531.4996,2874664
C5-2015,C5-2023,16,7,7,443864.7186,2843935
C44-L15-2015,C44-L15-2023,16,7,7,493053.237,2832497
GarrisonNE-2015,GarrisonNE-2023,16,7,7,475754.0064,2850165
H10-2015,H10-2023,16,7,7,460106.4512,2793411
H15-2015,H15-2023,16,8,7,461540.3532,2864879
H41-2015,H41-2023,16,7,7,591964.3752,2553453
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,840277.1693,3670981
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,503777.2266,2854245
