site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,338052.4997,1514204
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,247478.8304,1494666
Alsum18-2019,Alsum18-2023,8,7,6,246734.0759,1403864
Alsum59-2019,Alsum59-2023,8,6,7,254058.5946,1437381
Arlington-2019,Arlington-2023,8,7,7,240229.318,1469710
XMASBig-2019,XMASBig-2023,8,5,5,422258.3902,1912395
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,250567.2548,1491512
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,255532.3085,1484054
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,250067.4275,1523410
Wysocki1129-2019,Wysocki1129-2023,8,7,7,247868.8003,1505720
Arlington-2015,Arlington-2023,16,4,7,348877.325,1524594
C5-2015,C5-2023,16,7,7,253038.191,1481101
C44-L15-2015,C44-L15-2023,16,7,7,236456.5769,1483095
GarrisonNE-2015,GarrisonNE-2023,16,7,7,240957.7907,1476992
H10-2015,H10-2023,16,7,7,233079.9661,1444737
H15-2015,H15-2023,16,8,6,256827.3222,1461042
H41-2015,H41-2023,16,7,4,336809.7377,1479786
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,434092.7407,1936608
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,250751.2025,1509673
