site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,533868.1129,2301415
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,401314.6471,2263969
Alsum18-2019,Alsum18-2023,8,7,7,409532.0757,2260297
Alsum59-2019,Alsum59-2023,8,7,7,375568.7166,2250958
Arlington-2019,Arlington-2023,8,7,7,367993.7995,2211127
XMASBig-2019,XMASBig-2023,8,5,5,635590.598,2861872
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,373964.6407,2256434
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,406205.7066,2279665
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,368067.1912,2278372
Wysocki1129-2019,Wysocki1129-2023,8,7,7,368546.7571,2316972
Arlington-2015,Arlington-2023,16,4,7,531387.9391,2326549
C5-2015,C5-2023,16,7,7,379972.5485,2273780
C44-L15-2015,C44-L15-2023,16,7,7,363750.0454,2248673
GarrisonNE-2015,GarrisonNE-2023,16,7,7,367575.9701,2234089
H10-2015,H10-2023,16,7,7,380498.7792,2229731
H15-2015,H15-2023,16,8,7,366669.1006,2260356
H41-2015,H41-2023,16,7,7,460398.1126,2007282
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,645381.3845,2925184
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,372803.8924,2276161
