site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,605844.0175,2693284
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,441677.6779,2643662
Alsum18-2019,Alsum18-2023,8,7,6,458475.5542,2512958
Alsum59-2019,Alsum59-2023,8,6,7,448698.0115,2543902
Arlington-2019,Arlington-2023,8,7,7,407759.315,2576453
XMASBig-2019,XMASBig-2023,8,5,5,727227.9819,3337002
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,436135.5912,2639961
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,454808.465,2661250
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,415472.079,2657932
Wysocki1129-2019,Wysocki1129-2023,8,7,7,418902.1525,2652787
Arlington-2015,Arlington-2023,16,4,7,612193.1953,2717819
C5-2015,C5-2023,16,7,7,446587.7978,2643000
C44-L15-2015,C44-L15-2023,16,7,7,406654.4311,2614648
GarrisonNE-2015,GarrisonNE-2023,16,7,7,416391.443,2597891
H10-2015,H10-2023,16,7,7,426181.1352,2613005
H15-2015,H15-2023,16,8,6,447077.8403,2606613
H41-2015,H41-2023,16,7,4,584911.682,2615691
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,736160.376,3415208
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,425017.6411,2644367
