site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,556088.0161,2528274
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,452358.9409,2381003
Alsum18-2019,Alsum18-2023,8,7,7,377064.336,2323231
Alsum59-2019,Alsum59-2023,8,7,7,387144.1928,2370923
Arlington-2019,Arlington-2023,8,7,7,383568.3639,2387590
XMASBig-2019,XMASBig-2023,8,5,5,652032.5306,3182520
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,404381.3062,2319806
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,421632.0952,2325283
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,400011.5908,2533266
Wysocki1129-2019,Wysocki1129-2023,8,7,7,476003.1027,2494207
Arlington-2015,Arlington-2023,16,4,7,573865.4578,2517009
C5-2015,C5-2023,16,7,7,367626.5833,2487069
C44-L15-2015,C44-L15-2023,16,7,7,359052.1996,2210533
GarrisonNE-2015,GarrisonNE-2023,16,7,7,400147.1386,2429432
H10-2015,H10-2023,16,7,7,372554.6587,2383234
H15-2015,H15-2023,16,8,7,361906.9992,2411068
H41-2015,H41-2023,16,7,7,480738.4247,2143238
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,721588.209,3242633
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,434803.3025,2539792
