site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,475138.7247,2113781
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,354876.9832,2093068
Alsum18-2019,Alsum18-2023,8,7,6,365418.1158,1986102
Alsum59-2019,Alsum59-2023,8,6,7,376450.6451,2028958
Arlington-2019,Arlington-2023,8,7,7,353431.6844,2059740
XMASBig-2019,XMASBig-2023,8,5,5,584070.8876,2677820
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,354326.4044,2114120
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,387918.7917,2096322
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,355347.2092,2142747
Wysocki1129-2019,Wysocki1129-2023,8,7,7,352632.4911,2107779
Arlington-2015,Arlington-2023,16,4,7,499802.9821,2131332
C5-2015,C5-2023,16,7,7,351475.3994,2104735
C44-L15-2015,C44-L15-2023,16,7,7,354397.574,2068172
GarrisonNE-2015,GarrisonNE-2023,16,7,7,340015.3711,2071252
H10-2015,H10-2023,16,7,7,351352.5557,2071213
H15-2015,H15-2023,16,8,6,378633.9614,2043696
H41-2015,H41-2023,16,7,4,488427.1512,2066357
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,599408.4004,2704074
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,374491.6292,2141400
