site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,418913.3677,1723081
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,294075.286,1756472
Alsum18-2019,Alsum18-2023,8,7,7,405730.7726,1688875
Alsum59-2019,Alsum59-2023,8,7,7,362001.8974,1768281
Arlington-2019,Arlington-2023,8,7,7,286317.1508,1688132
XMASBig-2019,XMASBig-2023,8,5,5,526610.8786,2228581
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,280400.6746,1772590
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,374153.1219,1740556
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,346030.4463,1801515
Wysocki1129-2019,Wysocki1129-2023,8,7,7,304489.6268,1792807
Arlington-2015,Arlington-2023,16,4,7,445051.996,1796708
C5-2015,C5-2023,16,7,7,257574.7932,1734741
C44-L15-2015,C44-L15-2023,16,7,7,270644.2952,1726880
GarrisonNE-2015,GarrisonNE-2023,16,7,7,316590.3963,1767416
H10-2015,H10-2023,16,7,7,279404.724,1693910
H15-2015,H15-2023,16,8,7,292303.2571,1691103
H41-2015,H41-2023,16,7,7,353664.923,1499952
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,556686.2272,2299535
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,310387.3762,1789080
