site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,257559.3708,1111625
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,191506.6405,1101314
Alsum18-2019,Alsum18-2023,8,7,7,202271.0565,1083594
Alsum59-2019,Alsum59-2023,8,7,7,189460.7442,1095093
Arlington-2019,Arlington-2023,8,7,7,176723.461,1080220
XMASBig-2019,XMASBig-2023,8,5,5,315466.9874,1445417
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,183544.5117,1106374
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,193791.3442,1109603
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,179239.2341,1125921
Wysocki1129-2019,Wysocki1129-2023,8,7,7,187538.6886,1118742
Arlington-2015,Arlington-2023,16,4,7,258261.8465,1115565
C5-2015,C5-2023,16,7,7,183203.6465,1099219
C44-L15-2015,C44-L15-2023,16,7,7,181338.3622,1106046
GarrisonNE-2015,GarrisonNE-2023,16,7,7,182804.4249,1086961
H10-2015,H10-2023,16,7,7,171304.498,1077068
H15-2015,H15-2023,16,8,7,177339.5113,1104536
H41-2015,H41-2023,16,7,7,219401.367,966558
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,320826.0136,1447617
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,179196.0604,1115431
