site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,595703.0667,2562946
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,442527.6127,2542348
Alsum18-2019,Alsum18-2023,8,7,6,458363.5853,2432823
Alsum59-2019,Alsum59-2023,8,6,7,470491.6114,2462396
Arlington-2019,Arlington-2023,8,7,7,410683.4913,2511409
XMASBig-2019,XMASBig-2023,8,5,5,723949.7589,3325588
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,427786.5971,2591977
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,444120.662,2563015
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,447607.1792,2629770
Wysocki1129-2019,Wysocki1129-2023,8,7,7,427064.8649,2558958
Arlington-2015,Arlington-2023,16,4,7,620232.8804,2606122
C5-2015,C5-2023,16,7,7,437203.2603,2587650
C44-L15-2015,C44-L15-2023,16,7,7,401833.3434,2535285
GarrisonNE-2015,GarrisonNE-2023,16,7,7,417536.298,2508150
H10-2015,H10-2023,16,7,7,410682.9333,2536926
H15-2015,H15-2023,16,8,6,434822.2094,2456738
H41-2015,H41-2023,16,7,4,622827.2581,2578082
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,730993.2779,3350288
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,445807.2352,2595586
